time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1561000444.69096041,0.01540084,4533,0.00449899,0.00000000,0,0.00000000,4564,6274,2742,0.00000000
1561000444.78984022,0.01576850,4533,0.00342624,0.00000000,0,0.00000000,6274,7126,1932,0.00259494
1561000444.89098501,0.01819681,4574,0.00350829,0.00000000,0,0.00000000,7126,7874,1509,0.00490361
1561000444.98992896,0.01676357,4575,0.00243922,0.00000000,0,0.00000000,7874,8294,1272,0.00300492
1561000445.09089971,0.01785432,4581,0.00246993,0.00000000,0,0.00000000,8294,8587,1057,0.00524356
1561000445.19080877,0.01395154,4573,0.00174896,0.00000000,0,0.00000000,8587,8818,957,0.00000000
1561000445.28984785,0.01471640,4583,0.00155774,0.00000000,0,0.00000000,8818,9074,875,0.00000000
1561000445.39202476,0.01453867,4542,0.00202651,0.00000000,0,0.00000000,9074,9079,814,0.00315946
1561000445.48968935,0.01453601,4556,0.00148033,0.00000000,0,0.00000000,9079,9262,734,0.00620890
1561000445.59100223,0.01552100,4562,0.00213018,0.00000000,0,0.00000000,9262,9374,680,0.00000000
1561000445.69070935,0.01285151,4554,0.00113958,0.00000000,0,0.00000000,9374,9653,663,0.00560730
1561000445.78991675,0.01515259,4574,0.00143225,0.00000000,0,0.00000000,9653,9780,645,0.00000000
1561000445.89056563,0.01464166,4544,0.00098996,0.00000000,0,0.00000000,9780,9955,541,0.00184508
1561000445.98949718,0.01501434,4550,0.00097549,0.00000000,0,0.00000000,9955,10136,519,0.00000000
1561000446.09072638,0.01584555,4547,0.00151950,0.00000000,0,0.00000000,10136,10178,485,0.00000000
1561000446.19050050,0.01645733,4547,0.00147843,0.00000000,0,0.00000000,10178,10166,515,0.00364698
1561000446.29055429,0.01137858,4539,0.00079281,0.00000000,0,0.00000000,10166,10297,418,0.00000000
1561000446.38982725,0.01161778,4538,0.00097690,0.00000000,0,0.00000000,10297,10446,425,0.00552380
